,mwk/kg,,,,,,,,,,,,,,,,
,NO.,COMMODITY,2026/27,2025/26,2024/25,2023/24,2022/23,2021/22,2020/21,2019/20,2018/19,2017/18,2016/17,2015/16,2014/15,2013/14,2012/13
,1,Maize,,,"1,050",650,500,220,150,200,,150,170,,,,
,2,Rice-polished,,,,,"1,000",700,600,600,,530,450,,,,
,3,Rice-unpolished,,,"1,200",650,500,300,250,280,,230,230,,,,
,4,Sorghum,,,900,600,400,360,290,210,,150,190,,,,
,5,Finger millet,,,"1,200",600,550,480,370,400,,130,130,,,,
,6,Pearl millet,,,,,,,,220,,160,160,,,,
,7,Wheat,,,,,,,,390,,250,250,,,,
,8,Soya beans,,,"1,200",800,800,480,320,300,,280,280,,,,
,9,Pure beans,,,"2,500","1,200",700,480,510,450,,400,300,,,,
,10,Mixed beans,,,"1,500",900,600,460,410,350,,250,250,,,,
,11,White Harricot beans,,,"2,500","1,200",650,500,400,,,,,,,,
,12,Groundunts - shelled,,,"2,500","1,200",950,740,480,480,,450,400,,,,
,13,Groundunts - unshelled,,,"1,300",800,800,450,330,300,,290,290,,,,
,14,Pigeon peas,,,"1,100",700,550,420,240,240,,320,320,,,,
,15,Cowpeas,,,"1,200",750,640,560,350,310,,230,230,,,,
,16,Grams,,,,,,,,220,,200,200,,,,
,17,Sesame,,,"2,000","1,300","1,100",950,770,550,,250,250,,,,
,18,Sunflower,,,"1,000",650,500,450,240,330,,300,300,,,,
,19,Paprika Grade A,,,"3,000","1,500","1,040",900,830,800,,750,650,,,,
,20,Paprika Grade B,,,,,,,,700,,660,600,,,,
,21,Chillies Grade A,,,"6,000","2,000","1,730","1,500",720,"1,000",,950,900,,,,
,22,Chillies Grade B,,,,,,,,900,,860,800,,,,
,23,Cassava-dried,,,,,,,,240,,210,210,,,,
,24,Cassava-wet,,,700,450,400,110,100,100,,40,40,,,,
,25,Cotton Grade A,,,"1,400",900,580,400,320,389,,375,320,,,,
,26,Cotton Grade B,,,,,,,,310,,225,,,,,
,27,Bambara nuts,,,,,750,600,,380,,250,250,,,,
,28,Chick peas,,,,,,,,320,,300,300,,,,
,29,Castrol oil,,,,,,,,250,,220,200,,,,
